başlık,özet,tür,vizyon_tarihi,oyuncular,yönetmen,resim_link
Karanlıkta Dans,"Selma Jezkova, derme çatma bir karavanda 10 yaşındaki oğluyla beraber hayatını sürdürmeye çabalayan bir kadındır. Genetik ve kalıtsal bir hastalığı nedeniyle görme yetisini tamamen kaybetmek üzeredir. Bir gün kendi hastalığının kalıtsallığı nedeniyle oğlunun da bu hastalıkta muzdarip olacağını bilmektedir. Bu nedenle kazandığı tüm geliri oğlunu ameliyat ettirmek üzere kenara koymaktadır. Ancak hayatın seyri, bu ikiliyi hiç olmadık bir uçuruma doğru itmek üzeredir.","['Müzikal', 'Dram', 'Polisiye']",1 Aralık 2000,"[' Björk', 'Catherine Deneuve', 'Peter Stormare']",['Lars von Trier'],https://tr.web.img2.acsta.net/c_310_420/pictures/bzp/03/26095.jpg
Hotel Rwanda,"Hotel Rwanda filminde, kaosun Rwanda’nın günlük yaşamının başrollerinden birini oynadığı günlerde, Paul Rusesabagine, Kigali’de oldukça pahalı bir otel yönetmektedir. Onun için ırk kategorize edilmesi gereken bir insan özelliği değildir. Bir Tutsi olan Tatiana ile mutlu bir evlilikleri vardır. Tutsi isyankarlarının öldürülmesiyle biten barış süreci sonucunda katliama başlayan Hutu milisleri, şehri bir kan gölüne dönüştürmektedirler. Paul, hem kendi ailesini hem de masum insanları korumak üzere bir şeyler yapmak zorundadır.Don Cheadle, Joaquin Phoenix ve Nick Nolte gibi oyuncuların boy gösterdiği Hotel Rwanda’nın yönetmen koltuğunda Terry George var.","['Dram', 'Biyografik']",23 Eylül 2005,"['Don Cheadle', 'Joaquin Phoenix', 'Nick Nolte']",['Terry George'],https://tr.web.img2.acsta.net/c_310_420/pictures/bzp/01/55666.jpg
Terminatör,"Terminatör, çekildiği dönemden çok uzak bir gelecekte, 2029 yılında geçmektedir. Fütüristik filmde yeryüzü artık robotlar tarafından kontrol edilen ve bu robotlara karşı savaş veren bir grup insanlık direnişçisinin yaşadığı bir gezegendir. Makineler sahip oldukları sınırsız gücü istedikleri gibi kullanmakta, sadece daha fazla güçlü olmanın peşindedirler. Bu nedenle akıllıca bir plan yapan makineler, geçmişi değiştirmeye karar verirler; böylece kendi istedikleri türde bir geleceğe sahip olabileceklerdir. İnsanlık direnişinin eski önderlerinden Sarah Connor’ı öldürmesi için tasarlanan Terminatör isimli android, kadını öldürerek, gelecekte insanlığın direniş önderi olacak oğlu John Connor’ın doğmasını da engellemek için geçmişe gönderilir. Bilimkurgu türünün en ses getiren yapımlarından biri olan Terminatör serisinin bu ilk filmi serinin ve türünün en kusursuz filmi olma özelliğinde. James Cameron’ın çizdiği bu kusursuz kıyamet sonrası dünya senaryosu, başarısının önemli bir payını seriyle kültleşen Arnol Schwarzenegger’e borçlu.","['Bilimkurgu', 'Gerilim']",None,"['Arnold Schwarzenegger', 'Michael Biehn', 'Linda Hamilton']",['James Cameron'],https://tr.web.img2.acsta.net/c_310_420/pictures/bzp/01/309.jpg
PK,"P. K., başka bir gezegenden gelen bir yabancının tanrıyı bulma çabasını konu ediyor. Şehirde gezinen bir yabancı olan P.K daha önce kimsenin sormadığı basit sorular sorarak onlara cevaplar arar... Başka bir galaksiden gelen Peekay'ın; gerçek tanrıyı aramasını konu edinen film izleyenini karakterinin bu arayışı üzerinden felsefik yolculuklara çıkarırken, aşk ve hayat dolu sıcacık bir hikayeye odaklanır. Rajkumar Hirani'nin yönetmenliğini yaptığı filmin başlıca rollerinde Aamir Khan, Anushka Sharma ve Sanjay Dutt yer almakta.","['Bilimkurgu', 'Bollywood']",27 Temmuz 2021,"['Aamir Khan', 'Anushka Sharma', 'Sanjay Dutt']",['Rajkumar Hirani'],https://tr.web.img4.acsta.net/c_310_420/pictures/15/03/12/14/50/198891.jpg
Kapışma,"Kapışma, suç ve aksiyon türünün son dönemdeki en dikkat çeken örneklerinden biri. Film, Londra’nın suçla örülü yeraltı dünyasında vuku bulan iki farklı hikayeyi ele alıyor. Bir tarafta çalınan bir elmasın peşinden gidenler, diğer yanda ise boks dünyasının arka sokaklarında dönen illegal işlerden birine karışan Turkish ve başına açılan belada mücadele etmek zorunda kaldığı acımasız ganster Brick Top. Bu birbirinden bağımsız görünen iki hikaye ortak bir noktada buluştuğunda işler iyiden iyiye karışacaktır. Henüz ilk filmi Lock, Stock and Two Smoking Barrels ile kendine has bir takipçi kitlesi yaratan İngiliz yönetmen Guy Ritchie’nin ikinci filmi olan yapıtın başrollerini Jason Statham, Brad Pitt ve Benicio Del Toro gibi dikkat çekici isimler paylaşıyor.","['Polisiye', 'Komedi']",10 Kasım 2000,"['Jason Statham', 'Brad Pitt', 'Vinnie Jones']",['Guy Ritchie'],https://tr.web.img2.acsta.net/c_310_420/pictures/bzp/01/26251.jpg
Ayı,Bir yavru ayı annesini kaybetmiştir. Artık tamamen yalnız olarak bir şekilde hayatta kalmak için çabalayacaktır. Bunun için ilk yapması gereken kendisini koruyacak bir yetişkin ayı bulmaktır. Ancak kendini sevdirebilmesi pek de kolay olmayacaktır.,"['Macera', 'Dram', 'Aile']",None,"['Tchéky Karyo', 'Jack Wallace', 'André Lacombe']",['Jean-Jacques Annaud'],https://tr.web.img4.acsta.net/c_310_420/pictures/bzp/03/4097.jpg
John Q,"John Q. yaşamını bir fabrikada çalışarak sürdüren ve tek derdi ailesinin mutlu olmasını sağlamak olan sıradan bir adamdır. Ailesine karşı büyük bir sevgi duyduğundan yaptığı her şeyi onlar için yapmaktadır. Bir gün oğlu olan Michael, fenalaşarak hastaneye kaldırılır. Michael'a hızlı bir şekilde yeni bir kalp takılmazsa Michael hayatına veda edecektir. John Q.'nun ise oğlunun bu ameliyatını karşılayacak kadar parası yoktur. Siyahi adamın tek çaresi, hastaneden birilerini rehin almak olacaktır.","['Dram', 'Gerilim']",17 Mayıs 2002,"['Denzel Washington', 'Robert Duvall', 'Anne Heche']",['Nick Cassavetes'],https://tr.web.img4.acsta.net/c_310_420/pictures/bzp/01/28494.jpg
Şanslı Slevin,"Slevin, kelimenin sözlük anlamında bir kaybedendir. Neden? Çünkü sevgilisi kendisini çok kötü boynuzlamıştır. Bu yetmez, zira evinden atılır. Tüm bunlar yeterli olmamıştır ki bu defa da kimliğini bir hırsıza kaptırır. İşte; suç dünyasında da aslında hiçbir şey dışarıdan göründüğü gibi değildir. Slevin bu gerçeği pahalıya ödeyecektir. Pişmiş tavuğun başına gelenlerinden daha berbat musibetler başına peydah olunca Slevin, Los Angeles'ın bunalımlarından bir süre de olsa uzak durabilmek için New Yorklu arkadaşı Nick Fisher'dan dairesinin anahtarını ödünç alır. Oysa ki New York terk ettiğinden çok daha belalı bir şehirdir. Bir dönem ortak ancak nihayet düşman olan iki mafya babası, Patron ve Haham, Büyük Elma'yı ikiye bölmüş ve suç dünyasını parsellemişlerdir. Ancak oğlunun intikamını almaya niyetli olan Patron, Haham'ın oğlunu öldürtmek için bir kiralık katil tutar. Katilin planı daha da basittir. Patron'a borçlu birini bul, adamı öldürt. En kolay yem Nick Fisher'dan başkası değildir. Zavallı Slevin'ın başı bir kez daha derde girecektir.","['Gerilim', 'Polisiye', 'Komedi']",21 Nisan 2006,"['Morgan Freeman', 'Stanley Tucci', 'Robert Forster']",['Paul McGuigan'],https://tr.web.img2.acsta.net/c_310_420/pictures/bzp/01/57952.jpg
Oyuncak Hikayesi,"Oyuncak Hikayesi'nde Andy oyuncak koleksiyonu yapmayı çok seven ve oyuncaklarına değer veren küçük bir çocuktur. Ancak Andy’nin oyuncakları hakkında bilmediği bir şey vardır. Bu da Andy’nin yokluğunda, oyuncaklarının kovboy Woody’nin önderliğinde hayata geldiğidir. Bir gün Andy güzel bir hediye alır. Bu hediye de son model bir oyuncak olan Buzz-lightyear’dır. Andy’nin aldığı bu hediye oyuncaklar arasındaki ego tartışmalarını da beraberinde getirecektir.Gösterildiği sene animasyon teknolojisini başka bir noktaya taşıyan ve Pixar’ın piyasadaki yerini iyiden iyiye sağlamlaştıran Toy Story, bir dönemin çocuklarını derinden etkilemiş bir çizgi-fenomen.","['Animasyon', 'Komedi', 'Aile', 'Fantastik']",None,"['Tim Allen', 'Don Rickles', 'Jim Varney']",['John Lasseter'],https://tr.web.img3.acsta.net/c_310_420/pictures/bzp/01/14264.jpg
Ocean’s Eleven,"Şık ve hareketli Danny Ocean, tam bir aksiyon adamıdır. New Jersey hapishanesinden şartlı salıverilmesine 24 saat kalmışken bile karizmatik hırsız, bir sonraki planına son rötuşları yapmaktadır. 3 kuralı uygulayarak - kimseye zarar verme, hak etmeyen kimseden çalma ve oyunu, kaybedecek hiçbir şeyin yokmuş gibi oyna - Danny tarihteki en incelikle hazırlanmış ve sofistike kumarhane soygununun orkestra şefliğini yapacaktır.Bir gece yarısı Danny ve özenle seçilmiş 11 adamı, Terry Benedict’in Los Angeles’da sahip olduğu üç kumarhaneden 150 milyon USD çalacaklardır. Danny’nin eski karısı Tess ile çıkmaya başlayan Terry, kuşkusuz daha fazlasını da hak etmiştir.Danny istediği parayı ele geçirmek için hem hayatını hem de Tess ile yeniden barışma şansını riske atmaktadır. Yine de herşey Danny’nin sık elenip ince dokunmuş entrikasına uygun gelişirse iki arzusu arasında seçim yapması da gerekmeyecektir.","['Mahkeme', 'Gerilim', 'Komedi']",15 Şubat 2002,"['George Clooney', 'Brad Pitt', 'Julia Roberts']",['Steven Soderbergh'],https://tr.web.img2.acsta.net/c_310_420/pictures/bzp/01/26857.jpg
Ölü Gelin,"1800’lerin sonlarına doğru bir Victorian kasabasında bir adam ve bir kadın Victor Van Dort ile Victoria Everglot nişanlanırlar. Everglotlar’ın paraya ihtiyacı vardır aksi takdirde sokaklarda uyumak üzeredirler. Van Dortlar ise sosyetede adlarının geçmesini seven insanlardır. Yalnız düğün provası esnasında bir şey yanlış gider. Victor, koruluğa girer ve orada bulduğu bir iskeletin parmağındaki yüzüğü kendi parmağına geçirir. O anda da kendisini ölü gelin Emily ile evlenmiş bulur. Öteki tarafta Victoria onu beklerken, Victoria’nın yerini alacak zengin bir başka kişi vardır. Bu durumda ortada iki gelin ve bir damat varken Victor’u hangisinin elde edeceği bir muammadır.","['Animasyon', 'Fantastik', 'Aile', 'Romantik', 'Müzikal']",18 Kasım 2005,"['Johnny Depp', 'Helena Bonham Carter', 'Emily Watson']","['Mike Johnson', 'Tim Burton']",https://tr.web.img4.acsta.net/c_310_420/pictures/bzp/01/56718.jpg
Mucize,"Araba tamirciliğiyle hayatını idame ettiren, sıradan bir adam olan George Malley’in, bu gösterişsiz hayatı, 37 yaşına bastığı günün sabahında, gökyüzünde gördüğü bir ışık parıltısıyla kökünden değişir. Bu andan sonra mucizevi bir şekilde değişim gösteren genç adam artık, yığınla bilgiyi hafızasında barındırırken yaratıcı fikirler üretebilen olağanüstü bir zekaya ve yakın zamanda meydana gelebilecek olayları tahmin edebilecek seviyede telekinezik güçlere sahip olan bir adama dönüşür. Bu özelliği yakın çevresinden hükümete kadar herkesin dikkatini çekecek, kendisinden türlü şekillerde faydalanmaya çalışanlar olacaktır.‘National Treasure’ serisiyle tanınan yönetmen Jon Turteltaub imzalı filmin başrollerinde John Travolta ve Kyra Sedgwick bulunuyor.","['Dram', 'Fantastik']",None,"['John Travolta', 'Kyra Sedgwick', 'Forest Whitaker']",['Jon Turteltaub'],https://tr.web.img4.acsta.net/c_310_420/medias/nmedia/18/80/68/74/19550576.jpg
Grease,"Danny ve Sandy, hayatlarına damga vuran bir yaz aşkı yaşamışlardır. Ancak artık yaz bitmiştir ve ikili ayrılıp okullarına dönmek zorundadırlar. Danny, okuldaki ilk gününde önceden de mensubu olduğu bir deri ceketli çetenin başına döner. Artık sürekli olarak yazın geçirdiği güzel günlerinden bahsetmektedir. Ancak bilmediği bir şey vardır. Bu da Sandy'nin aynı gruba kaydolmuş olmasıdır. İşin kötüsü ikili birbirine düşman iki grubun mensubudurlar.","['Müzikal', 'Komedi', 'Romantik']",None,"['John Travolta', 'Olivia Newton-John', 'Stockard Channing']",['Randal Kleiser'],https://tr.web.img3.acsta.net/c_310_420/pictures/bzp/01/579.jpg
İlk Korku,"Tanınmış bir psikoposun öldürülmesi, büyük bir yankı uyandırır. Bu cinayet sırasında olay yerinden kaçmakta olan Aaron, görgü tanıkları tarafından suçlu olarak ilan edilir ve suçu işlediğin neredeyse kesinleşmiştir. Son derece prestijli bir avukat olan Martin Vail, ise olayların bu şekilde geliştiğinden tam olarak değildir ve Aaron'ı savunma görevini üstlenir. Aaron'ın suçluluğu o derece nettir ki Vail'in bu göreve atanması beyhude bir uğraş olarak addedilir. Ancak kısa bir süre sonra davanın seyri tam anlamıyla değişir. Primal Fear, Akademi'de kendisine Yardımcı Erkek Oyuncu adaylığı getiren Edward Norton’ın performansıyla da göz dolduruyor.","['Gerilim', 'Dram']",15 Ağustos 2021,"['Richard Gere', 'Laura Linney', 'Edward Norton']",['Gregory Hoblit'],https://tr.web.img4.acsta.net/c_310_420/pictures/bzp/01/14712.jpg
Rocky 2,"Adı sanı duyulmamış amatör boksör Rocky Balboa, Dünya Ağırsiklet Güreş Şampiyonu Apollo Creed'i devirerek herkesi şaşkınlığa sürüklemiş, iyi paralar kazanmakla birlikte, adının da duyulmasını sağlamıştır.Maçın fırtınalarının ardından kendisini konforlu aile yaşantısına veren Rocky, Creed'in yeni bir maç teklifini reddemez, ve yüzyılın rövanşı için geri sayım başlar..İlkinden 3 yıl sonra çekilen ikinci film, ilkinin çizgisinde ilerliyor ve orijinaliyle benzerlikler taşıyor. Yönetmen ve yazar olarak da Sylvester Stallone?yi görüyoruz.","['Aksiyon', 'Dram']",None,"['Sylvester Stallone', 'Talia Shire', 'Burt Young']",['Sylvester Stallone'],https://tr.web.img4.acsta.net/c_310_420/pictures/bzp/01/42742.jpg
Yürüyen Şato,"Yürüyen Şato, kendisine yapılan büyünün etkisini yok etmeye çalışan genç bir kızın hikayesini anlatıyor. Sıradan bir genç kız olan Sophie şeytani bir cadı tarafından büyüyle doksan yaşında bir kadına dönüşür. Sophie artık fazlasıyla yaşlanmış ve çevresi tarafından tanınmaz bir görünüme bürünmüştür. Bu yüzden büyük bir umutsuzluğa kapılan ve yaşadığı yeri terk etmek zorunda kalan Sophie, Howl isimli yürüyen bir şatoda yaşayan bir büyücünün yanına yerleşir. Bu şatoda yaşayan cinlerden biri de Sophie ile aynı kaderi paylaşmaktadır. Aynı amaç etrafında buluşan ikili kendilerine yapılan kara büyünün etkisini yok etmeye çalışacaklardır. Bu sırada şatonun dışında patlak veren savaş ülkenin birlik ve beraberliğini tehdit etmektedir. İkili artık hem kendileri için hem de ülkeleri için canları pahasına savaşmak zorunda kalacaktır. Animasyon dehası Hayao Miyazaki imzalı olan film animasyon türünün en yaratıcı yapıtlarından biri.","['Animasyon', 'Fantastik']",9 Haziran 2006,"['Chieko Baisho', 'Takuya Kimura', 'Akihiro Miwa']",['Hayao Miyazaki'],https://tr.web.img4.acsta.net/c_310_420/pictures/bzp/01/50409.jpg
Pardon,"Tiyatro fenomeni, yazar, meddah ve sinemacı Ferhan Şensoy'un, gerçek bir olaydan esinlenerek sinemaya aktardığı bu ilginç film, üç yakın arkadaşın talihsiz hayatlarının hikayesi. Sıradan birer vatandaş olan üç kafadarın yaşamı, içlerinden birinin bir hatası yüzünden tamamen değişecektir. Her zamanki gibi akıp giden günler artık hiçbir zaman eskisi gibi olmayacaktır. Vaktinden çok sonra askerliğini yapan İbrahim nerede bir resmi kıyafet görse hemen oradan kaçar olmuştur. Sadece masum bir korku gibi gözüken bu fobisi yüzünden sevdiği arkadaşları ve kendisinin başına gelmeyen kalmaz. Arkadaşlarıyla beraber kendini mahkeme salonlarından, hapishaneye kadar uzanan bir yolculukta bulur. Neler olup bittiğini anlamadan cezaevine düşen, üç arkadaşın akılları hep dışarıdadır. Ama geride kalanlar yavaş yavaş kendi yollarını çizmektedir.","['Komedi', 'Dram']",4 Mart 2005,"['Rasim Öztekin', 'Bülent Kayabaş', 'Erol Günaydın']",['Mert Baykal'],https://tr.web.img4.acsta.net/c_310_420/pictures/bzp/01/121163.jpg
Bir Zamanlar Batıda,"Bir Zamanlar Batıda, 1960'lı yılların unutulmayan Western filmlerinden bir tanesi... Filmin hikayesi, Jill'in yeni evlendiği varlıklı bir İrlandalı olan kocası Brett'in yanına gitmek üzere yol çıkmasıyla başlar. Fakat maalesef, Jill'i, çiftlikte Frank'in adamları tarafından öldürülen kocasının cenazesi beklemektedir. Bunun üzerine,ne olursa olsun çiftlikte kalmaya karar veren Jill, kendisini, onu yok etmeye çalışan Frank ve korumaya çalışan iki erkek arasında bulur. Harmonica'nın da Frank'le görülmemiş bir hesabı vardır ve mutlaka hesabını soracaktır.",['Western'],None,"['Henry Fonda', 'Charles Bronson', 'Frank Wolff']",['Sergio Leone'],https://tr.web.img4.acsta.net/c_310_420/pictures/bzp/03/2021.jpg
Yalancı Yalancı,"Los Angeles’lı savunma avukatı Fletcher Reede 5 yaşındaki oğlu Max’in partisine gitmek yerine yalan söylemeyi yeğler. Çünkü patronu Miranda’yla sevişmek gibi önemli bir işle meşguldur.Küçük Max de yaşgünü mumlarını söndürürken babasının en azından bir gün boyunca yalan söylememesini diler ve bu dilek işe yarar. Ertesi gün Fletcher, Miranda’nın 'dün akşam nasıldı?' sorusuna, daha iyi tecrübeleri olduğunu söyleyerek cevap verir. İş yerinde sürekli olarak çıkmadığı telefonlara çıkar. İş arkadaşları hakkında ne düşünüyorsa açık açık söyler. Bunlar sadece başlangıçtır",['Komedi'],1 Nisan 2021,"['Jim Carrey', 'Maura Tierney', 'Swoosie Kurtz']",['Tom Shadyac'],https://tr.web.img2.acsta.net/c_310_420/pictures/bzp/01/11510.jpg
Hırçın Sevgilim,"Kyun-woo sıradan bir akşam üstü evine dönmektedir Metroda güzeller güzeli bir kızla karşı karşıya gelir. Ancak kız çok sarhoştur ve kendi dengesini dahi sağlayamamaktadır. Kyun-woo kızı tren raylarına düşmekten kurtarır ve kızın trene binmesine yardım eder. Trenin diğer sakinleri ikilinin samimi pozları nedeniyle ikiliyi sevgili zannederler. Bu yanlış anlaşılma, ikilinin hayatındaki birçok şeyi değiştirecektir.","['Komedi', 'Romantik', 'Dram']",None,"['Gianna Jun', 'Cha Tae-hyun', 'Mu-yeong Lee']",['Jae-young Kwak'],https://tr.web.img4.acsta.net/c_310_420/pictures/14/03/20/09/16/194730.jpg
Sherlock Holmes: Gölge Oyunları,"Dünyanın en ünlü ve zeki dedektiflerinden Sherlock Holmes (Robert Downey Jr.) ve 'ortağı' Dr. Watson (Jude Law) bu sefer Londra’nın dışına çıkarak Fransa, Almanya ve İsviçre’ye yol alacakları yeni ve tehlikeli bir maceraya sürükleniyorlar. Onlardan hep bir adım önde olan kurnaz ve vicdansız Profesör Moriarty (Jared Harris) ise -ki Holmes en zeki olma unvanını ona kaptırmak üzere- büyük bir laneti değiştirecek planların peşindedir. Kahramanlarımız ise ne olursa olsun Moriarty durdurmaya kararlı... Yönetmen koltuğunda ilk filmde olduğu gibi gene Guy Ritchie yer alırken senaryoyu ilk filmden farklı olarak Kieran ve Michele Mulroney çifti kaleme aldı. İlhamını Sherlock Holmes'un yaratıcısı Arthur Conan Doyle'dan alan filmde Robert Downey Jr. ve Jude Law başrollerinin yanı sıra ilk filmdeki rolleriyle kadroya tekrar dahil olan oyuncular ise Eddie Marsan ( müfettiş Lestrade), Rachel McAdams (Irene Adler), Kelly Reilly ve Geraldine James olarak yer alıyorlar. Film kostümlerini ilk yapımda olduğu gibi gene Jenny Beavan tasarlarken ve müzikler ise kendisini her filmde mutlaka belli eden Hans Zimmer'a ait... Film tüm dünya ile aynı zamanda, 16 Aralık 2011'de ülkemizde de vizyona girecek...","['Macera', 'Aksiyon', 'Polisiye']",16 Aralık 2011,"['Robert Downey Jr.', 'Jude Law', 'Noomi Rapace']",['Guy Ritchie'],https://tr.web.img4.acsta.net/c_310_420/pictures/bzp/01/173048.jpg
İhtiyar Delikanlı,"İhtiyar Delikanlı, yıllarca hapis tutulan bir adamın serbest bırakılmasının ardından intikam arayışını konu ediyor. Oh Dae-Soo adında bir adam, bir gün kaçırılır ve 15 yıl boyunca eski püskü bir hücrede tutuklu kalır. Hiçbir açıklama yapılmamıştır. Sonra bir gün serbest bırakılır. Eline, para, cep telefonu ve pahalı kıyafetler verilir. Bu adam başına gelen bu durumun nasıl ve neden olduğunu anlamak ve gereken intikamı almak konusunda kararlıdır. Bu sırada Oh Dear-Soo aslında kendisini kaçıranların daha da büyük bir planının olduğunu keşfeder. Ancak bu planın özü acı dolu bir yoldan geçmektedir. Gerçeği bulmak ise bu yolun ta kendisidir.","['Gerilim', 'Dram', 'Aksiyon']",15 Ekim 2004,"['Choi Min-sik', 'Yoo Ji-tae', 'Kang Hye-Jeong']",['Park Chan-Wook'],https://tr.web.img4.acsta.net/c_310_420/pictures/bzp/03/54137.jpg
Hızlı ve Öfkeli 7,"Hız, güzel arabalar, soygun, dostluk, ihanet ve sadakat temaları üzerine kurulmuş, fenomenleşen film serisinin son halkasında Vin Diesel, Dwayne Johnson ve Paul Walker son kez beraber kamera karşına geçti.Serinin son bölümünde Hızlı ve Öfkeli ekibi bu kez İngiltere'den gelen bir intikam planından habersizlerdir. Shaw kardeşi Owen'ın hesabını sormakta ve onu yaralayanların karşısına çıkmaktadır. Shaw kibin Toretto evini havaya uçurduktan sonra Dom yetkili bir devlet ajanından yardım ister. Böylece ekip bir kez daha harekete geçer. Bu kez ABD hükümeti için yaptırılan bir takip cihazını ele geçirmek zorundadırlar. Michelle Rodriguez, Jordana Brewster, Tyrese Gibson, Chris “Ludacris” Bridges, Elsa Pataky ve Lucas Black’ten oluşan kemik kadronun korunduğu filmde ayrıca Jason Statham, Djimon Hounsou, Tony Jaa, Ronda Rousey, Nathalie Emmanuel ve Kurt Russell gibi yıldızlar da yer alıyor. Filmin yönetmen koltuğunda sürpriz bir isim olarak Saw ve Insidious gibi ses getiren filmlere imza atan James Wan bulunuyor.",['Aksiyon'],3 Nisan 2015,"['Vin Diesel', 'Paul Walker', 'Jason Statham']",['James Wan'],https://tr.web.img3.acsta.net/c_310_420/pictures/15/02/09/09/30/298098.jpg
Selam: Bahara Yolculuk,"Senaryosu gerçek bir hayat hikayesinden yola çıkılarak yazılan 'Bahara Yolculuk' filminde, Türkiye’den yola çıkarak Kırgızistan topraklarına uzanan, umut dolu yeni bir hikaye yazmak isteyen gönüllü bir öğretmenin yaşam mücadelesi beyazperdeye taşınıyor. Bu zorlu mücadelede tanıştığı yeni insanlar, gurbet ve iç içe geçen yaşam öyküleri filme aktarılıyor. 'Bahara Yolculuk' bambaşka insan manzaralarına ev sahipliği apan sımsıcak bir yol filmi.Çekimleri Türkiye'nin yanı sıra Kazakistan ve Kırgızistan'da gerçekleştirilen filmin yönetmenliğini Hamdi Alkan üstlenirken dram türündeki yapımın başrollerinde Aslıhan Güner, Gürol Güngör, Merve Sevi ve Mert Yavuzcan yer alıyor. Filmde rol alan Türk oyunculara Mıktıbek Apazov, Egemberdi Bekboliev, Nazira Aitbekova gibi Kırgız oyuncular da eşlik ediyor. Filmin senaryosu Erkan Çıplak'a, müzikleri ise Yücel Arzen'e ait. ",['Dram'],13 Mart 2015,"['Gürol Güngör', 'Aslıhan Güner', 'Mıktıbek Apazov']",['Hamdi Alkan'],https://tr.web.img3.acsta.net/c_310_420/pictures/15/02/09/10/18/220932.jpg
Zincirsiz,"Zincirsiz, Köle Django’nun Alman asıllı ödül avcısı Dr. King Schultz ile yolunun kesişmesiyle başlıyor. Django, eski efendisini ölü ya da diri ele geçirmek isteyen Schultz ile anlaşmaya varır ve özgürlüğü karşısında Brittle kardeşleri kendisine getirme sözü verir. Görev başarıyla tamamlanır ama ikilinin yolları ayrılmaz Schultz ve Django beraber Güney’in en çok aranan suçlularının peşine düşerler… ‘Avlanma’ hünerini her geçen gün geliştiren Django’nun artık tek bir hedefi vardır: köle ticareti yüzünden kaybettiği eşi Broomhilda’yı bulmak ve onu kurtarmak... Bu hedef onları kötü şöhretli “Candyland” çiftliğine ve çiftliğin sahibi olan Calvin Candie’ye götürecektir… Sinemanın dahi çocuğu, Oscarlı Quentin Tarantino'nun uzun süre üzerinde çalıştığı Spagetti Western türündeki projenin başrollerinde Jamie Foxx, Christoph Waltz yer alırken, Kerry Washington, Leonardo DiCaprio ve Samuel Jackson gibi yıldızlardan oluşan oyuncu kadrosu göz dolduruyor.",['Western'],1 Şubat 2013,"['Jamie Foxx', 'Christoph Waltz', 'Leonardo DiCaprio']",['Quentin Tarantino'],https://tr.web.img3.acsta.net/c_310_420/medias/nmedia/18/90/97/87/20412876.JPG
Sil Baştan,"Sil Baştan, ayrıldığı sevgilisinden kalan hatırlarını sildiren bir adamın hikayesini anlatıyor. İki yıl boyunca beraber olduğu sevgilisinden oldukça şaşırtıcı bir haber alan Joel Barish, bir teknolojik deneye katılan sevgilisine ilişkilerini tamamen hafızasından silinmeden hatırlatmaya çalışmaktadır. Yani Barish’in kim olduğunu bile hatırlamamaktadır. Bu gelişme üzerine küplere binen adam, aynı prosedürü kendi üzerinde de gerçekleştirmek ister.Film, adamın hafızaları silinirken, yaşanılan ilişkiyi gözler önüne serer. Adam da bir kez daha oldukça iyi başlayan ve sonradan tadı kaçan ilişkiyi izler. Fakat zaman geçtikçe ve sıra yaşanılan güzel şeylere gelince, üzerindeki müdaheleyi durdurmak ister. Pişman olmuştur!","['Bilimkurgu', 'Dram', 'Komedi']",26 Mayıs 2006,"['Jim Carrey', 'Kate Winslet', 'Kirsten Dunst']",['Michel Gondry'],https://tr.web.img4.acsta.net/c_310_420/pictures/bzp/01/40191.jpg
Bugün Aslında Dündü,"Bugün Aslında Dündü, nefret ettiği bir günü tekrar tekrar yaşamak zorunda kalan bir adamın maceralarını konu ediyor. Phil Connors, ekranlardaki samimi kişiliği ve eğlenceli yüzüyle kendine has bir şöhrete sahip olan, ancak kameralardan kurtulduğu an kendini beğenmiş ve kibirli kişiliğine geri dönen bir hava durumu spikeridir. Bu huysuz adam, hiç sevmediği kırsal yaşamın hüküm sürdüğü Pensilvanya’nın kırsal kasabalarından birine, Groundhog Day etkinlikleri için gönderilir. Burada yaşanan hayat ve mütevazi insanlardan iğrense debu hayata bir günlüğüne, görevi için katlanmak zorundadır. Ancak ansızın çıkan bir kar fırtınası tüm ulaşım yollarını kapattığında Phil, talihsiz kaderiyle başbaşa kalır. Ertesi sabah uyandığında ise daha büyük bir sürpriz kapıdadır: Phil, zaman döngüsüne yakalanmıştır; nefret ettiği o günü tekrar tekrar yaşamak zorundadır! 2 Şubat tarihinin sinemaseverlerdeki yeri ayrıdır. Bu tarihi borçlu olduğumuz Grounghog Day, dahice yazılmış senaryosu ve başarılı oyunculuklarıyla son derece eğlenceli bir klasik.","['Komedi', 'Fantastik']",None,"['Bill Murray', 'Andie MacDowell', 'Stephen Tobolowsky']",['Harold Ramis'],https://tr.web.img2.acsta.net/c_310_420/pictures/bzp/01/8066.jpg
